# doubletapd trace v1
# travel_mm=3.5000
us,k1_mm,k2_mm
3666793,1.6457,3.5000
3667786,1.5704,3.5000
3668787,1.4746,3.5000
3669791,1.3548,3.5000
3670791,1.2454,3.5000
3671791,1.1461,3.5000
3672786,1.0674,3.5000
3673792,0.9785,3.5000
3674792,0.8724,3.5000
3675786,0.7732,3.5000
3676786,0.6843,3.5000
3677786,0.5816,3.5000
3678786,0.5029,3.5000
3679786,0.4106,3.5000
3680786,0.3216,3.5000
3681786,0.2361,3.5000
3682786,0.1676,3.5000
3683786,0.0890,3.5000
3684792,0.0582,3.5000
3685786,0.0479,3.5000
3686792,0.0411,3.5000
3687786,0.0000,3.5000
3908810,0.0479,3.5000
3909794,0.0718,3.5000
3910799,0.0890,3.5000
3911794,0.1711,3.5000
3912794,0.2361,3.5000
3913794,0.2908,3.5000
3914801,0.4003,3.5000
3915800,0.5064,3.5000
3916795,0.6227,3.5000
3917791,0.6979,3.5000
3918799,0.8280,3.5000
3919801,0.9580,3.5000
3920794,1.1359,3.5000
3921799,1.2967,3.5000
3922794,1.4096,3.5000
3923794,1.5806,3.5000
3924795,1.7757,3.5000
3925790,1.9707,3.5000
3926794,2.1896,3.5000
3927794,2.3094,3.5000
3928794,2.5147,3.5000
3929795,2.7336,3.5000
3930794,2.9526,3.5000
3931795,3.1681,3.5000
3932793,3.3187,3.5000
3933795,3.5000,3.5000
4053813,3.5000,3.4966
4054791,3.5000,3.4897
4055802,3.5000,3.4829
4056795,3.5000,3.4658
4057802,3.5000,3.4589
4058795,3.5000,3.4282
4059808,3.5000,3.3974
4060796,3.5000,3.3734
4061795,3.5000,3.3426
4062797,3.5000,3.3255
4063801,3.5000,3.2810
4064795,3.5000,3.2400
4065791,3.5000,3.1955
4066801,3.5000,3.1750
4067801,3.5000,3.1168
4068801,3.5000,3.0689
4069801,3.5000,3.0108
4070796,3.5000,2.9765
4071800,3.5000,2.9081
4072803,3.5000,2.8465
4073801,3.5000,2.7713
4074795,3.5000,2.7199
4075796,3.5000,2.6481
4076801,3.5000,2.5694
4077795,3.5000,2.4804
4078796,3.5000,2.4257
4079791,3.5000,2.3436
4080796,3.5000,2.2546
4081795,3.5000,2.1999
4082796,3.5000,2.1109
4083792,3.5000,2.0254
4084799,3.5000,1.9365
4085796,3.5000,1.8543
4086795,3.5000,1.8030
4087795,3.5000,1.7312
4088796,3.5000,1.6354
4089801,3.5000,1.5464
4090801,3.5000,1.4985
4091797,3.5000,1.3856
4092791,3.5000,1.2967
4093802,3.5000,1.2111
4094801,3.5000,1.1393
4095796,3.5000,1.0298
4096796,3.5000,0.9990
4097796,3.5000,0.8895
4098796,3.5000,0.7869
4099791,3.5000,0.6843
4100801,3.5000,0.5885
4101796,3.5000,0.4790
4102798,3.5000,0.4174
4103796,3.5000,0.2977
4104796,3.5000,0.1950
4105803,3.5000,0.0855
4106801,3.5000,0.0000
4107801,3.5000,0.0000
4274815,3.5000,0.0342
4275810,3.5000,0.1266
4276798,3.5000,0.1608
4277798,3.5000,0.2258
4278798,3.5000,0.3011
4279800,3.5000,0.3284
4280798,3.5000,0.3695
4281805,3.5000,0.4174
4282804,3.5000,0.4413
4283804,3.5000,0.4858
4284804,3.5000,0.5440
4285799,3.5000,0.5474
4286805,3.5000,0.5714
4287804,3.5000,0.5919
4288798,3.5000,0.6398
4289799,3.5000,0.6466
4290799,3.5000,0.6911
4291798,3.5000,0.7185
4292799,3.5000,0.7595
4293799,3.5000,0.8074
4294798,3.5000,0.8553
4295799,3.5000,0.8895
4296799,3.5000,0.9545
4297798,3.5000,0.9956
4298798,3.5000,1.0538
4299805,3.5000,1.1017
4300804,3.5000,1.1632
4301798,3.5000,1.2248
4302798,3.5000,1.3035
4303798,3.5000,1.3925
4304798,3.5000,1.4780
4305799,3.5000,1.5533
4306799,3.5000,1.6012
4307799,3.5000,1.6970
4308800,3.5000,1.7962
4309804,3.5000,1.8578
4310807,3.5000,1.9570
4311799,3.5000,2.0528
4312799,3.5000,2.1657
4313805,3.5000,2.2410
4314800,3.5000,2.3333
4315806,3.5000,2.4462
4316805,3.5000,2.5591
4317806,3.5000,2.6652
4318799,3.5000,2.7336
4319799,3.5000,2.8500
4320799,3.5000,2.9629
4321799,3.5000,3.0484
4322799,3.5000,3.1681
4323800,3.5000,3.2947
4324799,3.5000,3.4316
4325799,3.5000,3.5000
4444807,3.4966,3.5000
4445800,3.4795,3.5000
4446801,3.4589,3.5000
4447800,3.4350,3.5000
4448805,3.4110,3.5000
4449801,3.3768,3.5000
4450801,3.3358,3.5000
4451800,3.2913,3.5000
4452801,3.2400,3.5000
4453801,3.1989,3.5000
4454800,3.1442,3.5000
4455801,3.0792,3.5000
4456801,3.0108,3.5000
4457801,2.9423,3.5000
4458808,2.8876,3.5000
4459801,2.8089,3.5000
4460807,2.7268,3.5000
4461801,2.6481,3.5000
4462801,2.5660,3.5000
4463800,2.4976,3.5000
4464801,2.4120,3.5000
4465801,2.3162,3.5000
4466801,2.2273,3.5000
4467801,2.1588,3.5000
4468801,2.0630,3.5000
4469801,1.9638,3.5000
4470801,1.8749,3.5000
4471808,1.7654,3.5000
4472802,1.6833,3.5000
4473801,1.6149,3.5000
4474801,1.5156,3.5000
4475801,1.4062,3.5000
4476801,1.3172,3.5000
4477801,1.2111,3.5000
4478801,1.1393,3.5000
4479801,1.0469,3.5000
